epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,6598.85,0.41329,0.23673,0.91589,0.99688,1,0.995,0.91864,0.48116,0.20622,0.9699,0.0001288,0.0001288,0.0001288
90,6657.75,0.42878,0.24238,0.91893,0.9968,1,0.995,0.9211,0.47695,0.19791,0.97192,0.0001189,0.0001189,0.0001189
91,6718.32,0.34034,0.19542,0.8835,0.99675,1,0.995,0.91735,0.48098,0.20197,0.9759,0.000109,0.000109,0.000109
92,6777.83,0.347,0.19556,0.87679,0.99691,1,0.995,0.91187,0.48864,0.20502,0.97686,9.91e-05,9.91e-05,9.91e-05
93,6833.43,0.3476,0.18693,0.87409,0.99591,1,0.995,0.91494,0.48687,0.20256,0.97812,8.92e-05,8.92e-05,8.92e-05
94,6892.29,0.34997,0.19081,0.87185,0.99814,1,0.995,0.91028,0.48416,0.2036,0.97845,7.93e-05,7.93e-05,7.93e-05
95,6951.54,0.33896,0.18557,0.87089,0.99725,1,0.995,0.9076,0.48421,0.20339,0.97919,6.94e-05,6.94e-05,6.94e-05
96,7011.52,0.33039,0.17788,0.86752,0.99706,1,0.995,0.91282,0.48945,0.2024,0.98184,5.95e-05,5.95e-05,5.95e-05
97,7090.92,0.31777,0.17646,0.87462,0.99915,1,0.995,0.91829,0.48718,0.19936,0.98346,4.96e-05,4.96e-05,4.96e-05
98,7150.78,0.32373,0.17689,0.88299,0.99916,1,0.995,0.91802,0.48443,0.19947,0.98304,3.97e-05,3.97e-05,3.97e-05
99,7211.48,0.3234,0.17466,0.87201,0.99917,1,0.995,0.91869,0.48223,0.19865,0.98218,2.98e-05,2.98e-05,2.98e-05
100,7272.26,0.32111,0.17238,0.85663,0.99916,1,0.995,0.91868,0.48139,0.19833,0.98078,1.99e-05,1.99e-05,1.99e-05
