epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4860.41,0.64181,0.34823,0.95966,0.99392,1,0.995,0.84221,0.678,0.27717,0.98962,0.000304601,0.000304601,0.000304601
63,4938.67,0.6349,0.33551,0.95666,0.99149,1,0.995,0.84819,0.66077,0.26665,0.98453,0.000296988,0.000296988,0.000296988
64,5018.07,0.62211,0.34512,0.95419,0.99122,1,0.995,0.85641,0.65499,0.26459,0.97039,0.000289375,0.000289375,0.000289375
65,5096.06,0.61483,0.33947,0.96742,0.99216,1,0.995,0.8699,0.63784,0.26546,0.95482,0.000281762,0.000281762,0.000281762
66,5173.91,0.6403,0.3325,0.96645,0.99065,1,0.995,0.8664,0.62511,0.26539,0.95776,0.000274148,0.000274148,0.000274148
67,5252.27,0.63501,0.34411,0.9611,0.99223,1,0.995,0.85223,0.65185,0.27167,0.96623,0.000266535,0.000266535,0.000266535
68,5330.29,0.60172,0.31802,0.95327,0.99308,1,0.995,0.85079,0.66535,0.27404,0.97353,0.000258922,0.000258922,0.000258922
69,5408.09,0.62743,0.33328,0.95909,0.99438,1,0.995,0.85978,0.64014,0.26096,0.96423,0.000251309,0.000251309,0.000251309
70,5486.01,0.64042,0.34282,0.9572,0.99637,1,0.995,0.85936,0.64144,0.25659,0.97026,0.000243696,0.000243696,0.000243696
71,5565.57,0.6425,0.33382,0.95815,0.99533,1,0.995,0.8713,0.61832,0.25773,0.95468,0.000236083,0.000236083,0.000236083
72,5643.93,0.61423,0.33269,0.94981,0.9972,1,0.995,0.86413,0.62713,0.25086,0.96297,0.00022847,0.00022847,0.00022847
73,5722.97,0.60646,0.30895,0.93947,0.99713,1,0.995,0.87285,0.64104,0.2553,0.96652,0.000220857,0.000220857,0.000220857
74,5801.45,0.60007,0.31425,0.94406,0.99393,1,0.995,0.86933,0.64746,0.2535,0.96867,0.000213244,0.000213244,0.000213244
75,5880.33,0.59454,0.32066,0.95692,0.99415,1,0.995,0.87096,0.63691,0.25665,0.96277,0.000205631,0.000205631,0.000205631
76,5975.26,0.61479,0.32024,0.95974,0.99586,1,0.995,0.87004,0.63541,0.25498,0.95719,0.000198018,0.000198018,0.000198018
77,6079.63,0.63246,0.34161,0.95677,0.99635,1,0.995,0.86249,0.63462,0.25633,0.95904,0.000190404,0.000190404,0.000190404
78,6185.2,0.60095,0.32141,0.94692,0.99341,1,0.995,0.85995,0.65393,0.26837,0.97852,0.000182791,0.000182791,0.000182791
79,6289.17,0.60559,0.31339,0.94659,0.9956,1,0.995,0.86376,0.63644,0.2623,0.96159,0.000175178,0.000175178,0.000175178
80,6393.61,0.61004,0.31594,0.92974,0.99595,1,0.995,0.86074,0.65642,0.26291,0.97118,0.000167565,0.000167565,0.000167565
81,6497.51,0.59807,0.31313,0.9353,0.995,1,0.995,0.86009,0.65037,0.25493,0.96226,0.000159952,0.000159952,0.000159952
82,6603.94,0.59996,0.32168,0.95473,0.9956,1,0.995,0.87156,0.63263,0.24606,0.95189,0.000152339,0.000152339,0.000152339
83,6709.59,0.57798,0.30099,0.94024,0.9965,1,0.995,0.87739,0.61376,0.24785,0.94185,0.000144726,0.000144726,0.000144726
84,6814.41,0.59575,0.3081,0.95395,0.99686,1,0.995,0.86906,0.62522,0.24897,0.95303,0.000137113,0.000137113,0.000137113
85,6918.42,0.57711,0.29673,0.93519,0.99643,1,0.995,0.86271,0.64783,0.24905,0.96554,0.0001295,0.0001295,0.0001295
86,7022.2,0.55949,0.30326,0.93349,0.99588,1,0.995,0.86857,0.63151,0.24346,0.95332,0.000121887,0.000121887,0.000121887
87,7126.45,0.58141,0.28865,0.93271,0.99601,1,0.995,0.8714,0.63658,0.24881,0.95351,0.000114273,0.000114273,0.000114273
88,7230.31,0.59247,0.32147,0.94842,0.99598,1,0.995,0.8709,0.63551,0.24961,0.95795,0.00010666,0.00010666,0.00010666
89,7334.6,0.57226,0.28429,0.92442,0.99765,1,0.995,0.86786,0.64697,0.24917,0.97116,9.90472e-05,9.90472e-05,9.90472e-05
90,7438.63,0.55609,0.28558,0.93775,0.9978,1,0.995,0.86674,0.6545,0.245,0.96947,9.14341e-05,9.14341e-05,9.14341e-05
91,7542.43,0.49867,0.24164,0.9022,0.99614,1,0.995,0.8659,0.63627,0.24249,0.95889,8.3821e-05,8.3821e-05,8.3821e-05
92,7646.42,0.48051,0.2343,0.89576,0.99659,1,0.995,0.86849,0.62866,0.23882,0.95968,7.62079e-05,7.62079e-05,7.62079e-05
93,7749.62,0.47775,0.22973,0.90262,0.99606,1,0.995,0.87254,0.62046,0.23896,0.95951,6.85948e-05,6.85948e-05,6.85948e-05
94,7974.08,0.48306,0.23218,0.91278,0.99607,1,0.995,0.87039,0.63442,0.23989,0.96244,6.09817e-05,6.09817e-05,6.09817e-05
95,8054.37,0.48002,0.23206,0.90263,0.99589,1,0.995,0.87369,0.62782,0.23698,0.95689,5.33686e-05,5.33686e-05,5.33686e-05
96,8129.39,0.48103,0.23456,0.88778,0.99591,1,0.995,0.8721,0.61922,0.2354,0.95223,4.57555e-05,4.57555e-05,4.57555e-05
97,8204.37,0.47952,0.22399,0.89421,0.99619,1,0.995,0.87524,0.6207,0.23311,0.95399,3.81424e-05,3.81424e-05,3.81424e-05
98,8279.68,0.48887,0.23512,0.89314,0.99677,1,0.995,0.8749,0.62246,0.23327,0.95711,3.05293e-05,3.05293e-05,3.05293e-05
99,8355.02,0.47391,0.22367,0.89085,0.99677,1,0.995,0.87582,0.62259,0.23241,0.95685,2.29162e-05,2.29162e-05,2.29162e-05
100,8429.83,0.45167,0.21737,0.89366,0.99676,1,0.995,0.87625,0.62095,0.23237,0.95544,1.53031e-05,1.53031e-05,1.53031e-05
